standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
thế không,rứa nỏ,Demonstratives/Deixis,2,0.1482787132263183,0.0,0.1482787132263183,"PNT2, PNT3",SENT
các bà đâu,mấy mệ mô,Interrogatives,1,0.1479392051696777,,0.1479392051696777,PNT3,SENT
thật chẳng,thiệt nỏ,Negation/Function words,1,0.146885871887207,,0.146885871887207,PNT3,SENT
khi cha,lúc ba,Kinship/Honorific terms,1,0.1466870307922363,,0.1466870307922363,PNN,MCQA
nó vừa,hắn bưa bưa,Pronouns,1,0.1463193893432617,,0.1463193893432617,PNT3,SENT
chẳng,hông có,Negation/Function words,1,0.1462752819061279,,0.1462752819061279,PNN,MCQA
thì như thế nào,ra sao,Interrogatives,1,0.1462373733520507,,0.1462373733520507,PNN,QA
chơi,nhởi,Predicate vocabulary,1,0.1458783149719238,,0.1458783149719238,PNT2,SENT
con ấy chứ,em đó chơ,Predicate vocabulary,1,0.1458144187927246,,0.1458144187927246,PNT3,SENT
tý vào,một tỉ vô,Predicate vocabulary,1,0.145695686340332,,0.145695686340332,PNT3,SENT
bịn rịn,lưu luyến,Idiomatic expressions,1,0.1449615955352783,,0.1449615955352783,PNB,MCQA
tao tao,ta ta,Pronouns,1,0.1435484886169433,,0.1435484886169433,PNT4,SENT
chứ,chơ răng,Connectives/Aspect markers,1,0.142709732055664,,0.142709732055664,PNT3,SENT
cha,bọ,Kinship/Honorific terms,2,0.1423096656799316,0.0395903892676173,0.1423096656799316,PNT3,MCQA
trái,ngược,Predicate vocabulary,1,0.1422991752624511,,0.1422991752624511,PNT4,QA
tại 1,ở một,Predicate vocabulary,1,0.1422667503356933,,0.1422667503356933,PNT3,NLI
gọi thật,hú đại,Predicate vocabulary,1,0.1415855884552002,,0.1415855884552002,PNT3,MCQA
ngừa,hờ,Predicate vocabulary,1,0.1411402225494384,,0.1411402225494384,PNN,MCQA
phần lớn,đa số,Predicate vocabulary,1,0.1398887634277343,,0.1398887634277343,PNT4,QA
thêm khó chịu và,bực mình với,Idiomatic expressions,1,0.1394917964935302,,0.1394917964935302,PNN,MCQA
tôi,ta,Pronouns,4,0.1380899548530578,0.20569744713282775,0.07053804397583,PNT4,"MCQA, NLI, SENT"
ảnh,hình,Predicate vocabulary,1,0.1375691890716552,,0.1375691890716552,PNT4,NLI
bao giờ bảo,từng kêu,Idiomatic expressions,1,0.1369376182556152,,0.1369376182556152,PNT3,MCQA
không nhỉ,lắm hông,Negation/Function words,1,0.1367897987365722,,0.1367897987365722,PNN,SENT
di chuyển,đi,Predicate vocabulary,1,0.1360962390899658,,0.1360962390899658,PNT4,NLI
đây,chừ,Negation/Function words,1,0.1360297203063964,,0.1360297203063964,PNT4,SENT
mẹ già,mạ tra,Kinship/Honorific terms,2,0.1346995830535888,0.10401403885264134,0.1346995830535888,PNT3,"MCQA, SENT"
nói rằng,bảo là,Idiomatic expressions,1,0.1343803405761718,,0.1343803405761718,PNB,NLI
về,dìa,Predicate vocabulary,2,0.13422942161560056,0.025975271324658003,0.13422942161560056,"PNN, PNT4",MCQA
vén,kéo,Predicate vocabulary,1,0.1339473724365234,,0.1339473724365234,PNT4,SENT
bữa không,bựa nỏ,Demonstratives/Deixis,1,0.1336522102355957,,0.1336522102355957,PNT3,SENT
bát,chén,Predicate vocabulary,8,0.132296085357666,0.0,0.132296085357666,"PNN, PNT3",MCQA
thể sử dụng,dùng,Predicate vocabulary,1,0.1318387985229492,,0.1318387985229492,PNT3,NLI
chứa,bỏ,Predicate vocabulary,1,0.1313047409057617,,0.1313047409057617,PNT3,QA
chúng,nhà,Pronouns,5,0.13082013130187986,0.05584016831462872,0.1102161407470703,PNT2,"MCQA, NLI"
cậu,nó,Pronouns,3,0.13042354583740232,0.28162740181661916,0.2930212020874023,"PNB, PNN","MCQA, NLI"
lên,vô,Predicate vocabulary,1,0.1303465366363525,,0.1303465366363525,PNT1,MCQA
chẳng,nọ,Negation/Function words,1,0.1299898624420166,,0.1299898624420166,PNT3,MCQA
những việc gì,chi,Interrogatives,1,0.1298146247863769,,0.1298146247863769,PNT3,MCQA
đó kkkk,đấy,Demonstratives/Deixis,1,0.1297636032104492,,0.1297636032104492,PNB,SENT
sao này,mài bựa,Idiomatic expressions,1,0.1296935081481933,,0.1296935081481933,PNT3,SENT
vào túi,vô bịch,Predicate vocabulary,1,0.129582405090332,,0.129582405090332,PNN,MCQA
t,tau,Pronouns,1,0.128976821899414,,0.128976821899414,PNT3,SENT
bỏ mặc,kệ,Predicate vocabulary,1,0.1289665699005127,,0.1289665699005127,PNN,MCQA
và những,với mấy,Predicate vocabulary,1,0.1288156509399414,,0.1288156509399414,PNN,MCQA
nó yêu nhâu,hắn ưng chắc,Pronouns,1,0.1288099288940429,,0.1288099288940429,PNT3,SENT
khi mẹ,lúc má,Kinship/Honorific terms,1,0.1286954879760742,,0.1286954879760742,PNN,MCQA
vấn đề,chuyện,Predicate vocabulary,1,0.1283397674560547,,0.1283397674560547,PNT3,NLI
chúng ta,mình,Pronouns,1,0.1282789707183838,,0.1282789707183838,PNT3,SENT
nơi,chỗ,Predicate vocabulary,2,0.12807738780975336,0.03735003138817217,0.12807738780975336,"PNN, PNT4","NLI, QA"
thật,thiệt,Connectives/Aspect markers,15,0.12801675796508782,0.1273765273246335,0.1109123229980468,"PNN, PNT3","MCQA, NLI, SENT"
cả,với,Connectives/Aspect markers,1,0.12738037109375,,0.12738037109375,PNT3,SENT
khi,lúc,Connectives/Aspect markers,25,0.1273304748535156,0.15386706215730955,0.0612602233886718,PNN,"MCQA, NLI, QA, SENT"
tới,xuống,Predicate vocabulary,1,0.1270537376403808,,0.1270537376403808,PNT4,SENT
lợn,heo,Predicate vocabulary,1,0.1266374588012695,,0.1266374588012695,PNN,SENT
nhỉ,hỉ,Discourse particles,2,0.12636351585388184,0.2691494374157812,0.12636351585388184,PNT4,SENT
cậu,cu,Pronouns,1,0.126039981842041,,0.126039981842041,PNT3,MCQA
này,nì,Discourse particles,2,0.1256394386291504,0.0,0.1256394386291504,"PNT2, PNT3",SENT
gì nó,chi hấn,Interrogatives,1,0.1255850791931152,,0.1255850791931152,PNT2,SENT
gọi thật,hú thiệt,Predicate vocabulary,1,0.1253933906555175,,0.1253933906555175,PNT2,MCQA
nhìn nó vào,ngó hắn vô,Pronouns,1,0.1252632141113281,,0.1252632141113281,PNT3,SENT
rất nhiều,quá trời,Idiomatic expressions,1,0.1251242160797119,,0.1251242160797119,PNT4,MCQA
thế nào,vậy,Demonstratives/Deixis,1,0.1246562004089355,,0.1246562004089355,PNN,SENT
em,mi,Pronouns,1,0.1245565414428711,,0.1245565414428711,PNT1,MCQA
nhỉ,he,Discourse particles,1,0.1239223480224609,,0.1239223480224609,PNT3,SENT
điều,chuyện,Predicate vocabulary,9,0.12377516428629552,0.09334000977538684,0.0855398178100586,PNN,"MCQA, NLI, QA"
giờ đây,chừ,Negation/Function words,1,0.1236739158630371,,0.1236739158630371,PNT3,SENT
người mẹ,má,Kinship/Honorific terms,6,0.12360755602518715,0.012618960825318779,0.1184558868408203,"PNN, PNT4",MCQA
giả vờ,làm bộ,Predicate vocabulary,1,0.1218585968017578,,0.1218585968017578,PNN,MCQA
hồi đó đã,thời nớ,Demonstratives/Deixis,1,0.121734619140625,,0.121734619140625,PNT3,SENT
or không,hoặc nỏ,Negation/Function words,1,0.1216037273406982,,0.1216037273406982,PNT2,SENT
người cha,ba,Kinship/Honorific terms,1,0.1210646629333496,,0.1210646629333496,PNN,MCQA
mãi đến,hoài tới,Predicate vocabulary,2,0.1207749843597412,0.0,0.1207749843597412,"PNN, PNT4",MCQA
người kia mới,đứa tê,Idiomatic expressions,1,0.1207592487335205,,0.1207592487335205,PNT3,MCQA
đâu,có,Interrogatives,1,0.1206421852111816,,0.1206421852111816,PNT4,SENT
dỗi,giận,Predicate vocabulary,2,0.1205747127532959,0.0,0.1205747127532959,PNN,MCQA
đó,đỏ,Discourse particles,1,0.1204748153686523,,0.1204748153686523,PNT3,SENT
em,con,Kinship/Honorific terms,1,0.1204664707183837,,0.1204664707183837,PNT4,NLI
lũ,tụi,Pronouns,1,0.1201496124267578,,0.1201496124267578,PNN,SENT
như vậy,a rứa,Demonstratives/Deixis,2,0.119713544845581,0.0009214986958422264,0.119713544845581,PNT2,MCQA
bùn,sình,Predicate vocabulary,2,0.1196849346160888,0.0,0.1196849346160888,PNN,MCQA
đầy,toàn,Predicate vocabulary,1,0.1187081336975097,,0.1187081336975097,PNT3,MCQA
thật,thiệt,Predicate vocabulary,6,0.1177393992741902,0.13272324053489853,0.0720319747924804,PNT4,SENT
liền là không,luôn,Predicate vocabulary,1,0.1175522804260253,,0.1175522804260253,PNT3,SENT
trắng,thâu,Predicate vocabulary,1,0.1174352169036865,,0.1174352169036865,PNT3,MCQA
thật đấy,thiệt,Connectives/Aspect markers,1,0.117258071899414,,0.117258071899414,PNT3,SENT
mồm,mỏ,Predicate vocabulary,1,0.117159366607666,,0.117159366607666,PNT4,SENT
chê trách,quở,Predicate vocabulary,1,0.1169617176055908,,0.1169617176055908,PNN,MCQA
khi bố bảo,lúc ba kêu,Kinship/Honorific terms,1,0.1164090633392334,,0.1164090633392334,PNN,MCQA
mẹ vào,vô,Kinship/Honorific terms,1,0.1158614158630371,,0.1158614158630371,PNT3,SENT
chửi,chưởi,Predicate vocabulary,1,0.1157684326171875,,0.1157684326171875,PNT3,SENT
quả,trái,Predicate vocabulary,5,0.11566934585571284,0.09155613241070548,0.1569912433624267,"PNN, PNT4","MCQA, NLI"
quát,nạt,Predicate vocabulary,1,0.1155920028686523,,0.1155920028686523,PNT2,SENT
điều may mắn,chuyện hên,Predicate vocabulary,1,0.1152911186218261,,0.1152911186218261,PNN,MCQA
không chạm,hông đụng,Negation/Function words,1,0.11513352394104,,0.11513352394104,PNN,NLI
các vị,mấy người,Pronouns,1,0.1149961948394775,,0.1149961948394775,PNT3,MCQA
các nẻo đường,mấy lộ,Predicate vocabulary,1,0.1147334575653076,,0.1147334575653076,PNT3,MCQA
và rất,với,Predicate vocabulary,1,0.1145582199096679,,0.1145582199096679,PNN,MCQA
mẹ,mệ,Kinship/Honorific terms,6,0.114468773206075,0.05586318783084367,0.11175322532653806,PNT2,"MCQA, SENT"
nó,nớ,Demonstratives/Deixis,2,0.112856388092041,0.0,0.112856388092041,"PNT2, PNT3",SENT
trông,coi,Predicate vocabulary,1,0.112358808517456,,0.112358808517456,PNT4,MCQA
lạ,cục,Predicate vocabulary,2,0.111318826675415,0.0,0.111318826675415,PNT4,MCQA
mặc,lơ,Predicate vocabulary,1,0.1104574203491211,,0.1104574203491211,PNT4,MCQA
quá,kinh,Discourse particles,2,0.11036098003387446,0.014204330885141482,0.11036098003387446,PNT4,"MCQA, SENT"
xem,coi,Predicate vocabulary,30,0.10944665273030596,0.06833645532175259,0.09039473533630366,"PNB, PNN, PNT1, PNT3, PNT4","MCQA, NLI, QA, SENT"
dơ,nhớp,Predicate vocabulary,1,0.1090674400329589,,0.1090674400329589,PNT4,SENT
người,đứa,Predicate vocabulary,4,0.10901510715484618,0.25958226226108977,0.02384161949157715,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, SENT"
giai đoạn,lúc,Predicate vocabulary,1,0.1089251041412353,,0.1089251041412353,PNN,NLI
nhìn,nhòm,Predicate vocabulary,1,0.1088337898254394,,0.1088337898254394,PNT3,MCQA
vào,ở,Predicate vocabulary,3,0.10831665992736816,0.22676530580667012,0.0473701953887939,"PNT3, PNT4",QA
kia,tê,Demonstratives/Deixis,1,0.1076140403747558,,0.1076140403747558,PNT1,SENT
và,rồi,Connectives/Aspect markers,15,0.10731263160705562,0.09330392096245473,0.0520026683807373,"PNN, PNT1, PNT3, PNT4","MCQA, NLI"
ngoại,vãi,Predicate vocabulary,1,0.1069791316986084,,0.1069791316986084,PNB,MCQA
không muốn,nỏ ưng,Negation/Function words,2,0.10692346096038816,0.10216176915428453,0.10692346096038816,PNT3,"MCQA, SENT"
ông bố,ba,Kinship/Honorific terms,1,0.1065084934234619,,0.1065084934234619,PNN,MCQA
lớn,bà lả,Predicate vocabulary,1,0.1058952808380127,,0.1058952808380127,PNT3,MCQA
đến thối,tới thúi,Predicate vocabulary,1,0.1058030128479003,,0.1058030128479003,PNN,MCQA
hôm ấy,nớ,Demonstratives/Deixis,1,0.1050624847412109,,0.1050624847412109,PNT3,SENT
cái lũ,cấy bọn,Pronouns,1,0.104128360748291,,0.104128360748291,PNT3,SENT
ta,cơ,Discourse particles,1,0.1040296554565429,,0.1040296554565429,PNT1,SENT
hôm nó,bữa hén,Demonstratives/Deixis,1,0.1035594940185546,,0.1035594940185546,PNT4,SENT
quả,cú,Predicate vocabulary,1,0.1035456657409668,,0.1035456657409668,PNN,SENT
mày,bây,Pronouns,1,0.103426456451416,,0.103426456451416,PNT3,SENT
cáu,quạu,Predicate vocabulary,1,0.1023371219635009,,0.1023371219635009,PNN,MCQA
thế này,vậy,Demonstratives/Deixis,2,0.10120892524719236,0.029896951284899716,0.10120892524719236,PNN,SENT
để,đặng,Connectives/Aspect markers,2,0.10020053386688224,0.016075650959025207,0.10020053386688224,PNN,"MCQA, SENT"
bây,bi,Demonstratives/Deixis,1,0.0991640090942382,,0.0991640090942382,PNT4,SENT
việc,chuyện,Predicate vocabulary,14,0.09868185860770086,0.09566597024006918,0.08926045894622794,"PNN, PNT3, PNT4","MCQA, NLI, QA, SENT"
chúng nó,bọn hấn,Pronouns,1,0.098362922668457,,0.098362922668457,PNT2,SENT
tao,ta,Pronouns,16,0.09756630659103391,0.10954810101246953,0.0902087688446044,PNT4,SENT
đùa,giỡn,Predicate vocabulary,1,0.0973262786865234,,0.0973262786865234,PNN,SENT
mẩu,mảnh,Predicate vocabulary,3,0.09731650352478032,0.12163326862224932,0.16754150390625,PNB,MCQA
mẫu,méng,Predicate vocabulary,1,0.0970866680145263,,0.0970866680145263,PNT3,MCQA
đến,qua,Predicate vocabulary,2,0.0967705249786377,0.0,0.0967705249786377,PNN,MCQA
sao,can chi,Interrogatives,1,0.0965242385864257,,0.0965242385864257,PNT2,SENT
lười thế,nhác rứa,Demonstratives/Deixis,1,0.0964653491973877,,0.0964653491973877,PNT2,MCQA
chứ sau này,chơ mài bựa,Demonstratives/Deixis,1,0.0964159965515136,,0.0964159965515136,PNT3,SENT
bây giờ,giừ,Negation/Function words,1,0.0963263511657714,,0.0963263511657714,PNT2,SENT
như thế nào,ra sao,Interrogatives,30,0.09607844352722165,0.09093760120277754,0.06902968883514399,PNN,"MCQA, QA, SENT"
cả,nguyên,Negation/Function words,3,0.09572903315226233,0.06501132611720484,0.1305093765258789,"PNN, PNT4","MCQA, SENT"
người,thằng,Predicate vocabulary,1,0.0956707000732421,,0.0956707000732421,PNT4,SENT
ấy giờ,đó chừ,Demonstratives/Deixis,1,0.0956659317016601,,0.0956659317016601,PNT4,SENT
muốn,mắc,Predicate vocabulary,1,0.0952858924865722,,0.0952858924865722,PNN,SENT
đường đến,đàng tới,Predicate vocabulary,1,0.0952033996582031,,0.0952033996582031,PNT3,MCQA
dẫn gấu,đắc bồ,Predicate vocabulary,1,0.094759464263916,,0.094759464263916,PNT3,SENT
chạy,phóng,Predicate vocabulary,1,0.0942339897155761,,0.0942339897155761,PNB,SENT
dạy,bày,Predicate vocabulary,1,0.0940654277801513,,0.0940654277801513,PNT4,MCQA
người nấy,ngài nớ,Demonstratives/Deixis,1,0.0926945209503173,,0.0926945209503173,PNT2,MCQA
mắng,thét,Predicate vocabulary,1,0.0921111106872558,,0.0921111106872558,PNB,MCQA
cho,bỏ,Predicate vocabulary,1,0.0920324325561523,,0.0920324325561523,PNN,MCQA
chàng trai,của anh nớ,Idiomatic expressions,1,0.091501235961914,,0.091501235961914,PNT2,NLI
vậy,rứa,Demonstratives/Deixis,53,0.09109587489434008,0.23500287957902444,0.0598249435424804,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, SENT"
tấm,cấy,Negation/Function words,1,0.0908374786376953,,0.0908374786376953,PNT3,MCQA
giờ,chừ,Negation/Function words,7,0.09047617231096532,0.07168139248467152,0.0488247871398925,"PNT3, PNT4",SENT
đã không,hông,Negation/Function words,1,0.0901453495025634,,0.0901453495025634,PNN,MCQA
đám,chỗ,Predicate vocabulary,1,0.0895981788635253,,0.0895981788635253,PNT3,SENT
ôtô cá,xe hơi cá,Predicate vocabulary,1,0.0893774032592773,,0.0893774032592773,PNN,NLI
đã,đả,Connectives/Aspect markers,1,0.0892996788024902,,0.0892996788024902,PNT2,MCQA
bảo,kêu,Predicate vocabulary,17,0.08851696463192203,0.0230459151652184,0.0961582660675048,"PNN, PNT2, PNT3, PNT4",MCQA
kia,đó,Demonstratives/Deixis,2,0.08813190460205075,0.03441003582344622,0.08813190460205075,PNN,SENT
trước,bữa,Predicate vocabulary,1,0.0876779556274414,,0.0876779556274414,PNN,SENT
chừng,khéo lại,Predicate vocabulary,1,0.0870890617370605,,0.0870890617370605,PNT1,SENT
vờ,bộ,Predicate vocabulary,3,0.08666626612345374,0.004583228722319058,0.0840201377868652,"PNN, PNT1",MCQA
quá,dữ,Predicate vocabulary,1,0.0866327285766601,,0.0866327285766601,PNN,SENT
cáu,đóa,Predicate vocabulary,1,0.086423635482788,,0.086423635482788,PNT3,MCQA
chứ,chơ,Connectives/Aspect markers,15,0.08509804407755531,0.08328730843132351,0.0705866813659668,"PNT2, PNT3",SENT
mắng,la,Predicate vocabulary,4,0.08485782146453855,0.04324400922712838,0.1033010482788086,"PNN, PNT4","MCQA, SENT"
quần áo,đồ,Predicate vocabulary,1,0.0842185020446777,,0.0842185020446777,PNN,MCQA
đâu,chi,Interrogatives,1,0.0834629535675048,,0.0834629535675048,PNT4,MCQA
ngày,hồi,Predicate vocabulary,1,0.0828657150268554,,0.0828657150268554,PNN,SENT
nó,trời,Pronouns,1,0.0816740989685058,,0.0816740989685058,PNT3,SENT
hám,tham,Predicate vocabulary,1,0.0813851356506347,,0.0813851356506347,PNT1,SENT
chiếc,cấy,Negation/Function words,3,0.0778889656066894,0.05486081833494318,0.109562873840332,PNT3,MCQA
bão vắng mẹ,bạo thiếu mạ,Kinship/Honorific terms,1,0.0774528980255127,,0.0774528980255127,PNT3,MCQA
bà,mệ,Kinship/Honorific terms,1,0.0769205093383789,,0.0769205093383789,PNT3,SENT
bạn,mày,Pronouns,1,0.0766830444335937,,0.0766830444335937,PNT2,SENT
ghê,thiệt,Connectives/Aspect markers,1,0.075657844543457,,0.075657844543457,PNT3,SENT
ấy,á,Demonstratives/Deixis,3,0.07535362243652342,0.06499551313039799,0.0378284454345703,"PNN, PNT4",SENT
già,tra,Predicate vocabulary,1,0.075174331665039,,0.075174331665039,PNT3,SENT
em ấy,ẻm,Pronouns,1,0.0750126838684082,,0.0750126838684082,PNN,SENT
lười,nhác,Predicate vocabulary,6,0.07490364710489907,0.0019995728341978443,0.0736129283905029,"PNT1, PNT2, PNT3","MCQA, SENT"
bố,ba,Kinship/Honorific terms,36,0.07313581970002914,0.048323410214135346,0.0780980587005615,"PNN, PNT3, PNT4","MCQA, SENT"
nói chuyện,gọi,Predicate vocabulary,1,0.073077917098999,,0.073077917098999,PNT3,MCQA
bà mẹ,má,Kinship/Honorific terms,1,0.0725922584533691,,0.0725922584533691,PNN,MCQA
ạ,cấy,Negation/Function words,1,0.0725502967834472,,0.0725502967834472,PNT3,SENT
tầng,lầu,Predicate vocabulary,3,0.0724630355834961,0.0,0.0724630355834961,PNN,SENT
bây giờ,chừ,Negation/Function words,1,0.0714187622070312,,0.0714187622070312,PNT3,SENT
chăm,giữ,Predicate vocabulary,2,0.0705931186676025,0.0,0.0705931186676025,PNT4,MCQA
muốn bạn ấy,ưng hắn,Pronouns,1,0.0700123310089111,,0.0700123310089111,PNT3,MCQA
và,nên,Connectives/Aspect markers,1,0.0695776939392089,,0.0695776939392089,PNT3,MCQA
chúng ta,tụi mình,Pronouns,6,0.06955552101135253,0.0717308599773643,0.07792627811431885,PNN,"MCQA, SENT"
cô tại,cổ ở,Pronouns,1,0.0694556236267089,,0.0694556236267089,PNT4,NLI
ấy chứ,đó chơ,Predicate vocabulary,1,0.068455696105957,,0.068455696105957,PNT3,SENT
đánh cắp,lấy trộm,Predicate vocabulary,1,0.0669381618499755,,0.0669381618499755,PNT1,MCQA
chạy,qua,Predicate vocabulary,1,0.0667047500610351,,0.0667047500610351,PNT4,SENT
các con,mấy đứa,Pronouns,2,0.0656268596649169,0.0,0.0656268596649169,PNT3,MCQA
những mẩu,mớ,Predicate vocabulary,1,0.0653827190399169,,0.0653827190399169,PNT3,MCQA
nhá,nghe,Discourse particles,2,0.0652098655700683,0.0,0.0652098655700683,"PNT3, PNT4",SENT
“tôi,“tau,Pronouns,1,0.0651218891143798,,0.0651218891143798,PNT1,MCQA
được,nổi,Predicate vocabulary,1,0.065093994140625,,0.065093994140625,PNN,SENT
thật chớ,thiệt chơ,Predicate vocabulary,1,0.0650272369384765,,0.0650272369384765,PNT3,SENT
mẹ,mụ,Kinship/Honorific terms,1,0.0649604797363281,,0.0649604797363281,PNB,SENT
về điều,nghe chuyện,Predicate vocabulary,1,0.0642662048339843,,0.0642662048339843,PNN,MCQA
heo,lợn,Predicate vocabulary,4,0.0641012191772461,0.0,0.0641012191772461,"PNB, PNT2",SENT
không chú,hông để,Negation/Function words,1,0.0639982223510742,,0.0639982223510742,PNN,MCQA
muốn,ưng,Predicate vocabulary,3,0.06393925348917637,0.03863907084062677,0.0599780082702636,PNT3,SENT
thật quá,thiệt,Connectives/Aspect markers,1,0.063791275024414,,0.063791275024414,PNN,SENT
thật quá,thiệt,Predicate vocabulary,1,0.063791275024414,,0.063791275024414,PNT4,SENT
qua,vừa rồi,Connectives/Aspect markers,1,0.0637564659118652,,0.0637564659118652,PNT2,NLI
đánh,ăn,Predicate vocabulary,1,0.0635507106781005,,0.0635507106781005,PNT4,MCQA
người khác,họ,Pronouns,1,0.0632669925689697,,0.0632669925689697,PNT3,MCQA
quá,ghê,Predicate vocabulary,2,0.06286931037902825,0.005559000731192867,0.06286931037902825,"PNN, PNT4","MCQA, SENT"
chả,không,Negation/Function words,1,0.0623536109924316,,0.0623536109924316,PNT4,SENT
miêu,mô,Interrogatives,1,0.0621871948242187,,0.0621871948242187,PNT4,MCQA
"ta ""","mình""",Pronouns,1,0.0614147186279296,,0.0614147186279296,PNB,SENT
phòng,buồng,Predicate vocabulary,1,0.0612344741821289,,0.0612344741821289,PNT4,SENT
tát,vả,Predicate vocabulary,1,0.0603513717651367,,0.0603513717651367,PNT1,SENT
các chế ơi,mấy ả nở,Kinship/Honorific terms,1,0.0601439476013183,,0.0601439476013183,PNT3,SENT
hối hả,vội vã,Idiomatic expressions,1,0.0595014095306396,,0.0595014095306396,PNB,MCQA
rằng,là,Connectives/Aspect markers,14,0.059105566569737,0.057830165151467924,0.0460931062698364,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA"
chăn,mền,Predicate vocabulary,2,0.0589652061462402,0.0,0.0589652061462402,"PNN, PNT4",MCQA
nhìn,ngó,Predicate vocabulary,5,0.05893340110778802,0.04047555364905584,0.060805320739746,"PNN, PNT3, PNT4","MCQA, SENT"
chúng,tụi,Pronouns,5,0.05892066955566402,0.07524083666861568,0.1083593368530273,PNN,"MCQA, SENT"
vấn đề,chi là,Predicate vocabulary,1,0.0587120056152343,,0.0587120056152343,PNT2,SENT
tìm,kiếm,Predicate vocabulary,2,0.05860519409179679,0.02617589032356989,0.05860519409179679,PNN,MCQA
nhưng,mà,Connectives/Aspect markers,1,0.0580916404724121,,0.0580916404724121,PNT3,NLI
sờ,xì,Predicate vocabulary,1,0.0576248168945312,,0.0576248168945312,PNT4,SENT
mang thai,có bầu,Predicate vocabulary,1,0.0571124553680419,,0.0571124553680419,PNT1,NLI
và bảo,rồi kêu,Connectives/Aspect markers,1,0.0567648410797119,,0.0567648410797119,PNN,MCQA
chỗ,lộ,Predicate vocabulary,1,0.0567643642425537,,0.0567643642425537,PNT3,MCQA
gọi thật,kêu thiệt,Predicate vocabulary,1,0.0562870502471923,,0.0562870502471923,PNN,MCQA
khiến,làm,Predicate vocabulary,5,0.0561268329620361,0.12697723842528094,0.0812597274780273,"PNT3, PNT4","MCQA, NLI, SENT"
cậu,thằng,Pronouns,4,0.05548077821731565,0.06837444113848479,0.0798944234848022,"PNT3, PNT4",MCQA
vào túi ni lông và,vô bao xì dầu rồi,Connectives/Aspect markers,1,0.0554578304290771,,0.0554578304290771,PNT3,MCQA
"cây""","cơn""",Predicate vocabulary,2,0.0542545318603515,0.0,0.0542545318603515,PNT3,MCQA
gì,chi cả,Interrogatives,1,0.0540516376495361,,0.0540516376495361,PNT1,MCQA
ngõ,trổng,Predicate vocabulary,1,0.0539064407348632,,0.0539064407348632,PNT3,SENT
bả,mệ,Kinship/Honorific terms,1,0.0537624359130859,,0.0537624359130859,PNT3,SENT
chân,thiệt,Connectives/Aspect markers,2,0.053593635559082,0.0,0.053593635559082,"PNN, PNT3",MCQA
đấy,đỏ,Discourse particles,1,0.0535550117492675,,0.0535550117492675,PNT3,SENT
mảnh,miếng,Predicate vocabulary,3,0.05296969413757321,0.0,0.0529696941375732,PNN,MCQA
hoặc,hay,Connectives/Aspect markers,1,0.0528168678283691,,0.0528168678283691,PNN,NLI
tập,hành,Predicate vocabulary,2,0.0526952743530273,0.0,0.0526952743530273,PNN,MCQA
lao,phóng,Predicate vocabulary,1,0.0524063110351562,,0.0524063110351562,PNT1,MCQA
sự,lúc,Predicate vocabulary,1,0.0523688793182373,,0.0523688793182373,PNT1,MCQA
đáng buồn,mắc,Predicate vocabulary,1,0.0515007972717285,,0.0515007972717285,PNN,MCQA
con mẹ,mụ,Kinship/Honorific terms,1,0.0513844490051269,,0.0513844490051269,PNB,SENT
đâu,gì,Interrogatives,1,0.0513505935668945,,0.0513505935668945,PNN,MCQA
mất,quá,Discourse particles,1,0.050760269165039,,0.050760269165039,PNT4,SENT
không trượt,nỏ lệch,Negation/Function words,1,0.0505423545837402,,0.0505423545837402,PNT3,SENT
nhé,nha,Discourse particles,5,0.05046410560607908,0.04093974707447191,0.0486931800842285,"PNN, PNT2","MCQA, SENT"
xưa,kìa,Demonstratives/Deixis,1,0.0503499507904052,,0.0503499507904052,PNB,MCQA
đợi lớn,chơ mài bựa nậy,Demonstratives/Deixis,1,0.049999713897705,,0.049999713897705,PNT3,SENT
đó,đấy,Demonstratives/Deixis,3,0.04970979690551757,0.03608396179149172,0.0311894416809082,PNB,SENT
nhỏ,bé,Predicate vocabulary,2,0.049504280090332045,0.09939777882894003,0.049504280090332045,"PNB, PNT2","QA, SENT"
ầm,váng,Predicate vocabulary,1,0.0494370460510253,,0.0494370460510253,PNN,MCQA
cuối,sau,Predicate vocabulary,1,0.049217939376831,,0.049217939376831,PNN,MCQA
anh ấy,mình,Pronouns,1,0.0490422248840332,,0.0490422248840332,PNB,NLI
rứa,thế,Demonstratives/Deixis,1,0.0483808517456054,,0.0483808517456054,PNB,SENT
ấy chứ,nít đó chớ,Discourse particles,1,0.0481195449829101,,0.0481195449829101,PNN,SENT
thụt,trượt,Predicate vocabulary,1,0.0479087829589843,,0.0479087829589843,PNT1,SENT
ngã,té,Predicate vocabulary,1,0.0479018688201904,,0.0479018688201904,PNN,MCQA
má nó,mẹ hắn,Kinship/Honorific terms,1,0.0477113723754882,,0.0477113723754882,PNT3,SENT
để,mà,Connectives/Aspect markers,1,0.0474059581756591,,0.0474059581756591,PNT3,MCQA
nó,bọn,Pronouns,1,0.0474019050598144,,0.0474019050598144,PNT2,SENT
